        Frequency / GHz                S1,1[1.0,0.0]+2[1.0,90],[0.85] (LIFA2=34)/abs,dB
                   1.237                     -0.20051835
                  1.2379                     -0.20030434
                  1.2388                     -0.20034504
                  1.2397                     -0.20063089
                  1.2406                     -0.20115511
                  1.2415                     -0.20190774
               1.2424001                     -0.20287432
                  1.2433                     -0.20403837
                  1.2442                     -0.20538407
                  1.2451                     -0.20689073
               1.2460001                     -0.20853518
                  1.2469                     -0.21029672
                  1.2478                     -0.21214726
                  1.2487                     -0.21406242
               1.2496001                     -0.21601337
                  1.2505                     -0.21797491
                  1.2514                     -0.21991704
                  1.2523                     -0.22181018
               1.2532001                     -0.22362821
                  1.2541                     -0.22534273
                   1.255                     -0.22692518
                  1.2559                     -0.22835198
               1.2568001                     -0.22959906
                  1.2577                     -0.23064256
                  1.2586                     -0.23146214
                  1.2595                     -0.23203803
               1.2604001                     -0.23235751
                  1.2613                     -0.23240573
                  1.2622                     -0.23217084
                  1.2631                     -0.23164726
               1.2640001                     -0.23083073
                  1.2649                     -0.22971923
                  1.2658                     -0.22831559
                  1.2667                     -0.22662467
               1.2676001                     -0.22465661
                  1.2685                      -0.2224222
                  1.2694                     -0.21993721
                  1.2703                      -0.2172187
               1.2711999                     -0.21428666
                  1.2721                     -0.21116713
                   1.273                     -0.20788365
                  1.2739                      -0.2044653
               1.2747999                     -0.20093997
                  1.2757                     -0.19733916
                  1.2766                     -0.19369598
                  1.2775                     -0.19004277
               1.2783999                     -0.18641312
                  1.2793                     -0.18284012
                  1.2802                     -0.17935877
                  1.2811                     -0.17600063
               1.2819999                     -0.17279661
                  1.2829                     -0.16977988
                  1.2838                     -0.16697842
                  1.2847                     -0.16441951
               1.2855999                     -0.16212568
                  1.2865                     -0.16012394
                  1.2874                     -0.15843074
                  1.2883                     -0.15706339
               1.2891999                     -0.15603622
                  1.2901                     -0.15535791
                   1.291                     -0.15503759
                  1.2919                     -0.15507609
               1.2927999                     -0.15547461
                  1.2937                     -0.15622621
                  1.2946                      -0.1573258
                  1.2955                     -0.15876013
                  1.2964                     -0.16051357
                  1.2973                     -0.16256705
                  1.2982                     -0.16490057
                  1.2991                     -0.16748427
                     1.3                     -0.17029217

